Enzyme	Correlation	t_value	p_value	conf_lower	conf_upper
K00290	0.35551346208927	2.3753603972971953	0.022543295764464233	0.05374086416306784	0.5977821559740074
K02103	0.3542514263143909	2.3657155928726703	0.023061217500604414	0.05230104284176179	0.5968534357456877
K14207	0.3536809184702531	2.36136048066857	0.02329858333259427	0.05165057815349426	0.5964333909354929
K10642	0.3536393773766895	2.361043484245339	0.02331594623611455	0.05160322507038268	0.5964028004989745
K04027	0.35298280661538955	2.356035369072827	0.023591808994094077	0.05085497421315848	0.5959192148345418
K08912	0.35296621525641386	2.355908866966551	0.02359881506093431	0.05083607051673538	0.5959069924775794
K12957	0.3526337506879578	2.3533744998800956	0.023739571559390216	0.050457315994866754	0.5956620520661521
K15548	0.35250263583486774	2.3523752953478674	0.023795274087907492	0.05030796955585953	0.5955654418968765
K10244	0.35218553244688905	2.3499593568033292	0.02393044195205074	0.04994682864257467	0.5953317595737053
K06871	0.3521101667968101	2.349385299001042	0.023962661081140757	0.04986100825989113	0.5952762144754519
K11436	0.3508231419210589	2.3395901070506557	0.024518472023696836	0.04839613572516503	0.5943273078101935
K01442	0.35062667910522505	2.338096215067148	0.024604252556085893	0.048172639070756314	0.5941823986650189
K00470	0.34923045539549796	2.3274895290560553	0.025221101891684583	0.04658516299342846	0.5931521013897705
K00722	0.3470529003886095	2.3109825040748886	0.026208775748120416	0.04411237767623465	0.5915436501700845
K10854	0.3466125359397596	2.3076494876483893	0.02641236555144011	0.04361275997263437	0.5912181381929115
